Model,Predictor,Alpha,Perturbation,Top1,Top5,Coverage,Size
Inception,RAPS,0.05,brightness,0.6590333332926432,0.9651,0.9269666666666667,3.0923666666666665
Inception,RAPS,0.05,erasure,0.22743333331298826,0.7825333332519531,0.6122333333333333,3.2321333333333335
Inception,RAPS,0.05,jpeg,0.19036666666158042,0.6459999999186198,0.5475666666666666,3.9918
Inception,Fixed,0.1,clean,0.7554999999593099,0.9835666666259766,0.9299333333333333,2.1442
Inception,Fixed,0.1,gaussian_noise,0.10456666666666667,0.5158666666259766,0.41863333333333336,4.0841666666666665
Inception,Fixed,0.1,blur,0.643999999938965,0.9596666665852864,0.8989666666666667,2.729966666666667
Inception,Fixed,0.1,brightness,0.6590333333333334,0.96509999995931,0.8868666666666667,2.4707333333333334
Inception,Fixed,0.1,erasure,0.22946666665649415,0.7842666666259765,0.4770666666666667,2.4285666666666668
Inception,Fixed,0.1,jpeg,0.19036666665649415,0.6459999999593099,0.7345666666666667,5.975766666666667
Inception,Naive,0.1,clean,0.7554999999186197,0.9835666666259766,0.9306333333333333,2.168266666666667
Inception,Naive,0.1,gaussian_noise,0.10566666666666667,0.5157333333028158,0.4227666666666667,4.116266666666666
Inception,Naive,0.1,blur,0.6439999999593099,0.9596666665852864,0.9017666666666667,2.7659666666666665
Inception,Naive,0.1,brightness,0.6590333332926432,0.96509999995931,0.8904333333333333,2.4988333333333332
Inception,Naive,0.1,erasure,0.2267333333231608,0.7809666665852865,0.48273333333333335,2.4726333333333335
Inception,Naive,0.1,jpeg,0.19036666666158042,0.6459999999593099,0.7394666666666667,6.026433333333333
Inception,APS,0.1,clean,0.7554999999186197,0.9835666665852865,0.9283,2.1456666666666666
Inception,APS,0.1,gaussian_noise,0.10436666665649413,0.5151666666259765,0.4187,4.084633333333334
Inception,APS,0.1,blur,0.6440333333129883,0.9596666666259765,0.8993666666666666,2.7291333333333334
Inception,APS,0.1,brightness,0.6590333332926432,0.96509999995931,0.8889666666666667,2.4734333333333334
Inception,APS,0.1,erasure,0.2320333333231608,0.7842333332926432,0.4819333333333333,2.4307
Inception,APS,0.1,jpeg,0.19036666666666666,0.645999999938965,0.7358666666666667,5.980266666666667
Inception,RAPS,0.1,clean,0.7554999999186197,0.9835666666666667,0.9243,2.032766666666667
Inception,RAPS,0.1,gaussian_noise,0.10336666665649413,0.5168333333129883,0.3426666666666667,3.2983
Inception,RAPS,0.1,blur,0.6439999999186198,0.9596666666666667,0.8802,2.4476
Inception,RAPS,0.1,brightness,0.6590333332519531,0.9651,0.8779,2.2935
Inception,RAPS,0.1,erasure,0.22863333332824706,0.782,0.47476666666666667,2.323566666666667
Inception,RAPS,0.1,jpeg,0.1903666666463216,0.645999999938965,0.5484,3.9527666666666668
ResNeXt101,Fixed,0.05,clean,0.4917666666666667,0.9080666666259766,0.9493,5.9613
ResNeXt101,Fixed,0.05,gaussian_noise,0.48399999995930987,0.9062666665852864,0.9528666666666666,6.077233333333333
