Model,Top1,Top5,Coverage,Size
Inception,0.365,0.774,0.711,3.852
VGG16,0.431,0.883,0.885,4.878
DenseNet161,0.385,0.857,0.884,5.548
ResNeXt101,0.376,0.845,0.895,5.871
ResNet50,0.374,0.85,0.902,6.033
ResNet152,0.363,0.84,0.894,5.949
ResNet101,0.339,0.829,0.881,5.92
ResNet18,0.315,0.813,0.894,6.381
ShuffleNet,0.267,0.729,0.903,7.491
