Model,Predictor,Alpha,Perturbation,Top1,Top5,Coverage,Size
ResNeXt101,Naive,0.1,blur,0.283,0.779,0.837,5.836
ResNeXt101,Naive,0.1,brightness,0.392,0.861,0.893,5.525
ResNeXt101,Naive,0.1,erasure,0.357,0.837,0.846,5.034
ResNeXt101,Naive,0.1,jpeg,0.364,0.841,0.857,5.135
ResNeXt101,APS,0.1,clean,0.492,0.908,0.902,4.562
ResNeXt101,APS,0.1,gaussian_noise,0.481,0.906,0.904,4.662
ResNeXt101,APS,0.1,blur,0.283,0.779,0.836,5.807
ResNeXt101,APS,0.1,brightness,0.392,0.861,0.891,5.493
ResNeXt101,APS,0.1,erasure,0.356,0.838,0.847,5.019
ResNeXt101,APS,0.1,jpeg,0.364,0.841,0.856,5.115
ResNeXt101,RAPS,0.1,clean,0.492,0.908,0.902,4.591
ResNeXt101,RAPS,0.1,gaussian_noise,0.482,0.903,0.9,4.646
ResNeXt101,RAPS,0.1,blur,0.283,0.779,0.798,5.194
ResNeXt101,RAPS,0.1,brightness,0.392,0.861,0.869,5.069
ResNeXt101,RAPS,0.1,erasure,0.358,0.839,0.838,4.863
ResNeXt101,RAPS,0.1,jpeg,0.364,0.841,0.845,4.904
ResNet152,Fixed,0.05,clean,0.464,0.895,0.954,6.412
ResNet152,Fixed,0.05,gaussian_noise,0.451,0.895,0.953,6.457
ResNet152,Fixed,0.05,blur,0.286,0.79,0.901,6.82
ResNet152,Fixed,0.05,brightness,0.373,0.848,0.937,6.831
ResNet152,Fixed,0.05,erasure,0.347,0.829,0.924,6.767
ResNet152,Fixed,0.05,jpeg,0.355,0.837,0.926,6.654
ResNet152,Naive,0.05,clean,0.464,0.895,0.953,6.407
ResNet152,Naive,0.05,gaussian_noise,0.453,0.894,0.952,6.441
ResNet152,Naive,0.05,blur,0.286,0.79,0.9,6.812
ResNet152,Naive,0.05,brightness,0.373,0.848,0.937,6.823
ResNet152,Naive,0.05,erasure,0.348,0.832,0.926,6.762
ResNet152,Naive,0.05,jpeg,0.355,0.837,0.926,6.649
ResNet152,APS,0.05,clean,0.464,0.895,0.951,6.367
ResNet152,APS,0.05,gaussian_noise,0.45,0.894,0.952,6.414
ResNet152,APS,0.05,blur,0.286,0.79,0.899,6.78
ResNet152,APS,0.05,brightness,0.373,0.848,0.936,6.792
ResNet152,APS,0.05,erasure,0.348,0.831,0.925,6.72
ResNet152,APS,0.05,jpeg,0.355,0.837,0.924,6.612
ResNet152,RAPS,0.05,clean,0.464,0.895,0.955,6.494
ResNet152,RAPS,0.05,gaussian_noise,0.452,0.892,0.955,6.54
ResNet152,RAPS,0.05,blur,0.286,0.79,0.904,6.897
ResNet152,RAPS,0.05,brightness,0.373,0.848,0.939,6.91
ResNet152,RAPS,0.05,erasure,0.347,0.831,0.931,6.843
ResNet152,RAPS,0.05,jpeg,0.355,0.837,0.928,6.733
ResNet152,Fixed,0.1,clean,0.464,0.895,0.899,4.851
ResNet152,Fixed,0.1,gaussian_noise,0.451,0.894,0.9,4.89
ResNet152,Fixed,0.1,blur,0.286,0.79,0.817,5.299
ResNet152,Fixed,0.1,brightness,0.373,0.848,0.874,5.32
ResNet152,Fixed,0.1,erasure,0.347,0.832,0.853,5.22
ResNet152,Fixed,0.1,jpeg,0.355,0.837,0.852,5.111
ResNet152,Naive,0.1,clean,0.464,0.895,0.901,4.883
ResNet152,Naive,0.1,gaussian_noise,0.454,0.893,0.902,4.934
ResNet152,Naive,0.1,blur,0.286,0.79,0.819,5.333
ResNet152,Naive,0.1,brightness,0.373,0.848,0.876,5.35
ResNet152,Naive,0.1,erasure,0.346,0.831,0.855,5.26
ResNet152,Naive,0.1,jpeg,0.355,0.837,0.855,5.147
ResNet152,APS,0.1,clean,0.464,0.895,0.9,4.873
ResNet152,APS,0.1,gaussian_noise,0.452,0.895,0.901,4.912
ResNet152,APS,0.1,blur,0.286,0.79,0.818,5.321
ResNet152,APS,0.1,brightness,0.373,0.847,0.875,5.339
ResNet152,APS,0.1,erasure,0.349,0.832,0.855,5.25
ResNet152,APS,0.1,jpeg,0.355,0.837,0.855,5.137
ResNet152,RAPS,0.1,clean,0.464,0.895,0.9,4.908
ResNet152,RAPS,0.1,gaussian_noise,0.45,0.893,0.9,4.946
ResNet152,RAPS,0.1,blur,0.286,0.79,0.814,5.276
ResNet152,RAPS,0.1,brightness,0.373,0.848,0.872,5.303
ResNet152,RAPS,0.1,erasure,0.349,0.835,0.855,5.24
ResNet152,RAPS,0.1,jpeg,0.355,0.837,0.854,5.126
ResNet101,Fixed,0.05,clean,0.434,0.895,0.95,6.362
ResNet101,Fixed,0.05,gaussian_noise,0.426,0.888,0.948,6.388
ResNet101,Fixed,0.05,blur,0.262,0.766,0.87,6.635
ResNet101,Fixed,0.05,brightness,0.342,0.828,0.913,6.586
ResNet101,Fixed,0.05,erasure,0.321,0.833,0.918,6.596
ResNet101,Fixed,0.05,jpeg,0.342,0.833,0.922,6.635
ResNet101,Naive,0.05,clean,0.434,0.895,0.95,6.416
ResNet101,Naive,0.05,gaussian_noise,0.425,0.888,0.95,6.44
ResNet101,Naive,0.05,blur,0.262,0.766,0.873,6.684
ResNet101,Naive,0.05,brightness,0.342,0.828,0.915,6.635
ResNet101,Naive,0.05,erasure,0.322,0.828,0.92,6.644
ResNet101,Naive,0.05,jpeg,0.342,0.833,0.924,6.687
ResNet101,APS,0.05,clean,0.434,0.895,0.951,6.454
ResNet101,APS,0.05,gaussian_noise,0.426,0.889,0.95,6.47
ResNet101,APS,0.05,blur,0.262,0.766,0.875,6.72
ResNet101,APS,0.05,brightness,0.342,0.828,0.916,6.666
ResNet101,APS,0.05,erasure,0.323,0.827,0.92,6.694
ResNet101,APS,0.05,jpeg,0.342,0.833,0.927,6.724
ResNet101,RAPS,0.05,clean,0.434,0.895,0.952,6.469
ResNet101,RAPS,0.05,gaussian_noise,0.424,0.889,0.95,6.491
ResNet101,RAPS,0.05,blur,0.262,0.766,0.877,6.716
ResNet101,RAPS,0.05,brightness,0.342,0.828,0.916,6.674
ResNet101,RAPS,0.05,erasure,0.325,0.829,0.921,6.691
ResNet101,RAPS,0.05,jpeg,0.342,0.833,0.926,6.731
ResNet101,Fixed,0.1,clean,0.434,0.895,0.901,4.998
ResNet101,Fixed,0.1,gaussian_noise,0.426,0.889,0.897,5.018
ResNet101,Fixed,0.1,blur,0.262,0.766,0.784,5.336
ResNet101,Fixed,0.1,brightness,0.342,0.828,0.846,5.279
ResNet101,Fixed,0.1,erasure,0.323,0.826,0.848,5.24
ResNet101,Fixed,0.1,jpeg,0.342,0.833,0.859,5.291
ResNet101,Naive,0.1,clean,0.434,0.895,0.901,4.997
ResNet101,Naive,0.1,gaussian_noise,0.424,0.888,0.895,5.021
ResNet101,Naive,0.1,blur,0.262,0.766,0.786,5.336
ResNet101,Naive,0.1,brightness,0.342,0.828,0.848,5.277
ResNet101,Naive,0.1,erasure,0.323,0.829,0.849,5.237
ResNet101,Naive,0.1,jpeg,0.342,0.833,0.859,5.296
ResNet101,APS,0.1,clean,0.434,0.895,0.9,4.999
ResNet101,APS,0.1,gaussian_noise,0.426,0.888,0.895,5.017
ResNet101,APS,0.1,blur,0.262,0.766,0.785,5.338
ResNet101,APS,0.1,brightness,0.342,0.828,0.846,5.283
ResNet101,APS,0.1,erasure,0.329,0.831,0.851,5.246
ResNet101,APS,0.1,jpeg,0.342,0.833,0.858,5.292
ResNet101,RAPS,0.1,clean,0.434,0.895,0.898,4.934
ResNet101,RAPS,0.1,gaussian_noise,0.423,0.89,0.894,4.955
ResNet101,RAPS,0.1,blur,0.262,0.766,0.779,5.259
ResNet101,RAPS,0.1,brightness,0.342,0.828,0.842,5.204
ResNet101,RAPS,0.1,erasure,0.321,0.832,0.846,5.167
ResNet101,RAPS,0.1,jpeg,0.342,0.833,0.852,5.213
ResNet50,Fixed,0.05,clean,0.475,0.904,0.952,6.297
ResNet50,Fixed,0.05,gaussian_noise,0.466,0.903,0.955,6.421
ResNet50,Fixed,0.05,blur,0.319,0.823,0.927,6.942
ResNet50,Fixed,0.05,brightness,0.372,0.85,0.95,7.225
ResNet50,Fixed,0.05,erasure,0.355,0.834,0.924,6.73
ResNet50,Fixed,0.05,jpeg,0.352,0.838,0.923,6.696
ResNet50,Naive,0.05,clean,0.475,0.904,0.951,6.293
ResNet50,Naive,0.05,gaussian_noise,0.468,0.904,0.954,6.402
ResNet50,Naive,0.05,blur,0.319,0.823,0.926,6.94
ResNet50,Naive,0.05,brightness,0.372,0.85,0.95,7.216
ResNet50,Naive,0.05,erasure,0.359,0.836,0.925,6.739
ResNet50,Naive,0.05,jpeg,0.352,0.838,0.923,6.685
ResNet50,APS,0.05,clean,0.475,0.904,0.952,6.307
ResNet50,APS,0.05,gaussian_noise,0.466,0.901,0.954,6.413
ResNet50,APS,0.05,blur,0.319,0.823,0.926,6.948
ResNet50,APS,0.05,brightness,0.372,0.85,0.95,7.229
ResNet50,APS,0.05,erasure,0.356,0.839,0.926,6.739
ResNet50,APS,0.05,jpeg,0.352,0.838,0.922,6.695
ResNet50,RAPS,0.05,clean,0.475,0.904,0.952,6.291
ResNet50,RAPS,0.05,gaussian_noise,0.467,0.902,0.953,6.372
ResNet50,RAPS,0.05,blur,0.319,0.823,0.923,6.856
ResNet50,RAPS,0.05,brightness,0.372,0.85,0.946,7.099
ResNet50,RAPS,0.05,erasure,0.361,0.834,0.924,6.683
ResNet50,RAPS,0.05,jpeg,0.352,0.838,0.92,6.635
ResNet50,Fixed,0.1,clean,0.475,0.904,0.903,4.848
ResNet50,Fixed,0.1,gaussian_noise,0.465,0.902,0.904,4.952
ResNet50,Fixed,0.1,blur,0.319,0.823,0.858,5.544
ResNet50,Fixed,0.1,brightness,0.372,0.85,0.892,5.79
ResNet50,Fixed,0.1,erasure,0.361,0.836,0.857,5.289
ResNet50,Fixed,0.1,jpeg,0.352,0.838,0.852,5.241
ResNet50,Naive,0.1,clean,0.475,0.904,0.905,4.86
ResNet50,Naive,0.1,gaussian_noise,0.469,0.902,0.905,4.969
ResNet50,Naive,0.1,blur,0.319,0.823,0.858,5.55
ResNet50,Naive,0.1,brightness,0.372,0.85,0.894,5.804
ResNet50,Naive,0.1,erasure,0.36,0.835,0.859,5.294
ResNet50,Naive,0.1,jpeg,0.352,0.838,0.852,5.251
ResNet50,APS,0.1,clean,0.475,0.904,0.903,4.864
ResNet50,APS,0.1,gaussian_noise,0.466,0.901,0.904,4.971
ResNet50,APS,0.1,blur,0.319,0.823,0.859,5.563
ResNet50,APS,0.1,brightness,0.372,0.85,0.893,5.811
ResNet50,APS,0.1,erasure,0.361,0.84,0.86,5.304
ResNet50,APS,0.1,jpeg,0.352,0.838,0.852,5.255
