Model,Predictor,Alpha,Perturbation,Top1,Top5,Coverage,Size
ShuffleNet,APS,0.05,gaussian_noise,0.362,0.819,0.948,7.653
ShuffleNet,APS,0.05,blur,0.155,0.606,0.904,8.608
ShuffleNet,APS,0.05,brightness,0.277,0.743,0.927,7.832
ShuffleNet,APS,0.05,erasure,0.283,0.754,0.941,7.908
ShuffleNet,APS,0.05,jpeg,0.259,0.723,0.95,8.209
ShuffleNet,RAPS,0.05,clean,0.376,0.833,0.948,7.49
ShuffleNet,RAPS,0.05,gaussian_noise,0.362,0.817,0.948,7.679
ShuffleNet,RAPS,0.05,blur,0.155,0.606,0.906,8.632
ShuffleNet,RAPS,0.05,brightness,0.277,0.743,0.93,7.873
ShuffleNet,RAPS,0.05,erasure,0.282,0.756,0.941,7.951
ShuffleNet,RAPS,0.05,jpeg,0.259,0.723,0.952,8.244
ShuffleNet,Fixed,0.1,clean,0.376,0.833,0.897,6.261
ShuffleNet,Fixed,0.1,gaussian_noise,0.359,0.817,0.895,6.463
ShuffleNet,Fixed,0.1,blur,0.155,0.606,0.831,7.616
ShuffleNet,Fixed,0.1,brightness,0.277,0.743,0.864,6.685
ShuffleNet,Fixed,0.1,erasure,0.282,0.756,0.881,6.739
ShuffleNet,Fixed,0.1,jpeg,0.259,0.723,0.888,7.093
ShuffleNet,Naive,0.1,clean,0.376,0.833,0.898,6.272
ShuffleNet,Naive,0.1,gaussian_noise,0.36,0.818,0.897,6.468
ShuffleNet,Naive,0.1,blur,0.155,0.606,0.829,7.58
ShuffleNet,Naive,0.1,brightness,0.277,0.743,0.864,6.687
ShuffleNet,Naive,0.1,erasure,0.283,0.757,0.88,6.75
ShuffleNet,Naive,0.1,jpeg,0.259,0.723,0.886,7.079
ShuffleNet,APS,0.1,clean,0.376,0.833,0.896,6.254
ShuffleNet,APS,0.1,gaussian_noise,0.364,0.818,0.893,6.458
ShuffleNet,APS,0.1,blur,0.155,0.606,0.828,7.576
ShuffleNet,APS,0.1,brightness,0.277,0.743,0.863,6.67
ShuffleNet,APS,0.1,erasure,0.281,0.757,0.878,6.721
ShuffleNet,APS,0.1,jpeg,0.259,0.723,0.884,7.065
ShuffleNet,RAPS,0.1,clean,0.376,0.833,0.898,6.306
ShuffleNet,RAPS,0.1,gaussian_noise,0.36,0.818,0.896,6.505
ShuffleNet,RAPS,0.1,blur,0.155,0.606,0.83,7.613
ShuffleNet,RAPS,0.1,brightness,0.277,0.743,0.865,6.719
ShuffleNet,RAPS,0.1,erasure,0.284,0.758,0.881,6.782
ShuffleNet,RAPS,0.1,jpeg,0.259,0.723,0.889,7.116
